id	hit_freq	conf_freq	approve_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resign_freq	travel_freq	trade_freq	health_freq	politics_freq	social_freq	connection	sender	addressee	pair	year	decennium	quinquennial	sender_birth	addressee_birth_date	sender_generation	addressee_generation	sender_is_older	sender_over_40	addressee_over_40	age_gap_over_20	age_gap	gender_sender	gender_addressee	gender_pair
32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1668	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
33	10.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.92	1.73	0.00	0.00	0.00	0.00	1.73	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1668	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1668	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1668	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE JR	SAMUEL JEAKE SR	"SAMUEL JEAKE JR", "SAMUEL JEAKE SR"	1669	1660-1669	1665-1669	1652	1623	1640-1680	1600-1640	FALSE	FALSE	TRUE	TRUE	29	MALE	MALE	MALE-MALE
41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE JR	SAMUEL JEAKE SR	"SAMUEL JEAKE JR", "SAMUEL JEAKE SR"	1669	1660-1669	1665-1669	1652	1623	1640-1680	1600-1640	FALSE	FALSE	TRUE	TRUE	29	MALE	MALE	MALE-MALE
45	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1669	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
47	1.69	0.00	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE JR	SAMUEL JEAKE SR	"SAMUEL JEAKE JR", "SAMUEL JEAKE SR"	1669	1660-1669	1665-1669	1652	1623	1640-1680	1600-1640	FALSE	FALSE	TRUE	TRUE	29	MALE	MALE	MALE-MALE
