id	hit_freq	conf_freq	approve_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resign_freq	travel_freq	trade_freq	health_freq	politics_freq	social_freq	connection	sender	addressee	pair	year	quinquennial	decennium	sender_birth	addressee_birth_date	sender_generation	addressee_generation	sender_is_older	sender_over_40	addressee_over_40	age_gap_over_20	age_gap	gender_sender	gender_addressee	gender_pair
SB_M_203	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	ANDREAS BERENBERG'S WIDOW	LM & PJ	"ANDREAS BERENBERG'S WIDOW", "LM & PJ"	1672	1670-1674	1670-1679	1604	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	TRUE		FEMALE	MULT	FEMALE-MULT
SB_M_204	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	PIETRO VAN TEYLINGEN & CO	LM	"PIETRO VAN TEYLINGEN & CO", "LM"	1672	1670-1674	1670-1679	UNK	1637	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	FEMALE	MALE-FEMALE
SB_M_207	1.83	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00	BUSINESS; CLIENT	PAUL BERENBERG (JR.)	LM & PJ	"PAUL BERENBERG (JR.)", "LM & PJ"	1672	1670-1674	1670-1679	1628	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE		MALE	MULT	MALE-MULT
SB_M_21	11.41	0.00	0.00	1.63	0.00	1.63	8.15	0.00	0.00	0.00	8.15	3.26	0.00	0.00	0.00	BUSINESS; PRINCIPAL	ABRAHAM MOMMA REENSTIERNA	CM	"ABRAHAM MOMMA REENSTIERNA", "CM"	1668	1665-1669	1660-1669	1623	1633	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	10	MALE	MALE	MALE-MALE
SB_M_210	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	ANDREAS BERENBERG'S WIDOW	LM & PJ	"ANDREAS BERENBERG'S WIDOW", "LM & PJ"	1672	1670-1674	1670-1679	1604	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	TRUE		FEMALE	MULT	FEMALE-MULT
SB_M_211	8.15	0.00	0.00	0.00	0.00	1.63	3.26	0.00	3.26	0.00	4.89	3.26	0.00	0.00	0.00	BUSINESS; PRINCIPAL	JOACHIM PÖTTER-LILLIENHOFF & HENRIK THUEN	LM & PJ	"JOACHIM PÖTTER-LILLIENHOFF & HENRIK THUEN", "LM & PJ"	1672	1670-1674	1670-1679	MULT	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE		MALE	MULT	MALE-MULT
SB_M_212	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	ANDREAS BERENBERG'S WIDOW	LM & PJ	"ANDREAS BERENBERG'S WIDOW", "LM & PJ"	1672	1670-1674	1670-1679	1604	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	TRUE		FEMALE	MULT	FEMALE-MULT
SB_M_213	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	WILLEM MOMMA	LM & PJ	"WILLEM MOMMA", "LM & PJ"	1672	1670-1674	1670-1679	1601	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	TRUE		MALE	MULT	MALE-MULT
SB_M_214	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	EGIDIO RULAND	LM & PJ	"EGIDIO RULAND", "LM & PJ"	1672	1670-1674	1670-1679	UNK	MULT	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MULT	MALE-MULT
SB_M_215	1.63	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	STEVEN DE GEER	LM & PJ	"STEVEN DE GEER", "LM & PJ"	1672	1670-1674	1670-1679	1629	MULT	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE		MALE	MULT	MALE-MULT
