id	hit_freq	conf_freq	appr_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resignate_freq	trave_freq	trade_freq	health_freq	politics_freq	social_freq	pair	sender_over_40	addressee_over_40	sender_is_older	age_gap_over_20	gender_pair	connection
272	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA HARTSHORNE"	FALSE	TRUE	FALSE	TRUE	FEMALE-FEMALE	FAMILY
274	21.58	0.00	21.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.58	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA HARTSHORNE"	FALSE	TRUE	FALSE	TRUE	FEMALE-FEMALE	FAMILY
275	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA HARTSHORNE"	FALSE	TRUE	FALSE	TRUE	FEMALE-FEMALE	FAMILY
276	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA HARTSHORNE"	FALSE	TRUE	FALSE	TRUE	FEMALE-FEMALE	FAMILY
277	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA HARTSHORNE"	FALSE	TRUE	FALSE	TRUE	FEMALE-FEMALE	FAMILY
278	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA HARTSHORNE"	FALSE	TRUE	FALSE	TRUE	FEMALE-FEMALE	FAMILY
279	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA HARTSHORNE"	FALSE	TRUE	FALSE	TRUE	FEMALE-FEMALE	FAMILY
280	21.58	0.00	21.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.58	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA HARTSHORNE"	FALSE	TRUE	FALSE	TRUE	FEMALE-FEMALE	FAMILY
292	46.36	0.00	0.00	0.00	0.00	46.36	0.00	0.00	0.00	0.00	0.00	0.00	46.36	0.00	0.00	"ELIZABETH JEAKE", "BARBARA JEAKE"	TRUE	FALSE	TRUE	TRUE	FEMALE-FEMALE	FAMILY
293	139.08	0.00	0.00	0.00	0.00	46.36	46.36	0.00	0.00	0.00	0.00	0.00	92.72	0.00	0.00	"ELIZABETH JEAKE", "BARBARA JEAKE"	TRUE	FALSE	TRUE	TRUE	FEMALE-FEMALE	FAMILY
295	139.08	0.00	46.36	0.00	0.00	46.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	46.36	"ELIZABETH JEAKE", "BARBARA JEAKE"	TRUE	FALSE	TRUE	TRUE	FEMALE-FEMALE	FAMILY
296	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA JEAKE"	TRUE	FALSE	TRUE	TRUE	FEMALE-FEMALE	FAMILY
297	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "BARBARA JEAKE"	TRUE	FALSE	TRUE	TRUE	FEMALE-FEMALE	FAMILY
298	46.36	0.00	0.00	0.00	0.00	46.36	0.00	0.00	0.00	0.00	0.00	0.00	46.36	0.00	0.00	"ELIZABETH JEAKE", "BARBARA JEAKE"	TRUE	FALSE	TRUE	TRUE	FEMALE-FEMALE	FAMILY
157	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "SAMUEL JEAKE JR"	FALSE	FALSE	FALSE	FALSE	FEMALE-MALE	FAMILY
158	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "SAMUEL JEAKE JR"	FALSE	FALSE	FALSE	FALSE	FEMALE-MALE	FAMILY
195	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "SAMUEL JEAKE JR"	FALSE	FALSE	FALSE	FALSE	FEMALE-MALE	FAMILY
218	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH JEAKE", "SAMUEL JEAKE JR"	FALSE	FALSE	FALSE	FALSE	FEMALE-MALE	FAMILY
219	78.19	0.00	0.00	0.00	0.00	78.19	0.00	0.00	0.00	0.00	0.00	0.00	78.19	0.00	0.00	"ELIZABETH JEAKE", "SAMUEL JEAKE JR"	FALSE	FALSE	FALSE	FALSE	FEMALE-MALE	FAMILY
284	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"FRANCIS JEAKE", "JOSEPH TUCKER"	FALSE	TRUE	FALSE	TRUE	MALE-MALE	FAMILY
285	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"FRANCIS JEAKE", "JOSEPH TUCKER"	FALSE	TRUE	FALSE	TRUE	MALE-MALE	FAMILY
287	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"FRANCIS JEAKE", "JOSEPH TUCKER"	FALSE	TRUE	FALSE	TRUE	MALE-MALE	FAMILY
288	73.96	0.00	0.00	73.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	73.96	"FRANCIS JEAKE", "JOSEPH TUCKER"	FALSE	TRUE	FALSE	TRUE	MALE-MALE	FAMILY
289	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"FRANCIS JEAKE", "JOSEPH TUCKER"	FALSE	TRUE	FALSE	TRUE	MALE-MALE	FAMILY
