file,collection,abby_ratio_chars,abby_ratio_words,abby_ratio_lines,tess_ratio_chars,tess_ratio_words,tess_ratio_lines
IMG_2021_12_23_13_18_58L,jeake,0.955522971652004,0.9889570552147239,0.10526315789473684,0.9973059025226549,0.9914110429447853,0.8888888888888888
IMG_2021_12_23_12_12_59R,jeake,0.3927905531385954,0.9671261930010604,0.10256410256410256,0.9856935517312876,0.989451476793249,0.8571428571428571
IMG_2021_12_23_11_59_45R,jeake,0.9594202898550724,0.9852941176470589,0.15789473684210525,0.9784451441026883,0.9729064039408867,0.7526881720430108
IMG_2021_12_23_11_52_33R,jeake,0.9004247286455875,0.9522643818849449,0.20512820512820512,0.9981060606060606,0.9975550122249389,0.9302325581395349
IMG_2021_12_23_11_56_52R,jeake,0.9304743339831059,0.9870801033591732,0.024691358024691357,0.9995105237395986,0.9974160206718347,0.9662921348314607
IMG_2021_12_23_12_07_07L,jeake,0.9046624913013221,0.9490683229813665,0.02702702702702703,0.988339552238806,0.9603960396039604,0.6024096385542169
IMG_2021_12_23_12_10_03L,jeake,0.9302769818529131,0.9822064056939501,0.2077922077922078,0.9929594561786842,0.970131421744325,0.7912087912087912
IMG_2021_12_23_13_17_37R,jeake,0.9895615866388309,0.9740932642487047,0.6829268292682927,0.9940688018979834,0.9948006932409013,0.8076923076923077
IMG_2021_12_23_13_11_26L,jeake,0.6751512622574588,0.9693251533742331,0.14814814814814814,0.9942320017090366,0.982635342185904,0.7912087912087912
IMG_2021_12_23_13_14_36R,jeake,0.9245011314544332,0.977366255144033,0.05063291139240506,0.9962468723936614,0.98559670781893,0.8409090909090909
IMG_2022_07_05_15_13_44L,marescoe-david,0.9102930127723516,0.9535603715170279,0.029850746268656716,0.9888721804511278,0.9689922480620154,0.6306306306306306
IMG_2022_07_05_15_09_41R,marescoe-david,0.7951690821256039,0.8784246575342466,0.2891566265060241,0.9617102744097,0.9593908629441624,0.6456692913385826
IMG_2022_07_05_15_41_19R,marescoe-david,0.9609949123798757,0.9411764705882353,0.44,0.9657816271475224,0.9663093415007658,0.6371681415929203
IMG_2022_07_05_15_35_19L,marescoe-david,0.6983962752198655,0.8630705394190872,0.0,0.9922779922779923,0.9531914893617022,0.9176470588235294
IMG_2022_07_05_12_10_20R,marescoe-david,0.7130748422001804,0.888673765730881,0.0,0.9819546185456495,0.9618320610687023,0.6554621848739496
IMG_2022_07_05_15_30_56L,marescoe-david,0.8675832127351665,0.8893320039880359,0.0,0.9892119217407205,0.976,0.7755102040816326
IMG_2022_07_05_15_24_39L,marescoe-david,0.8709267879813796,0.9631268436578171,0.07692307692307693,0.9916536992502476,0.9814677538917717,0.7563025210084033
IMG_2022_07_05_12_09_22R,marescoe-david,0.8538045859500512,0.9743987587276959,0.0,0.9715208455666471,0.9759503491078355,0.6981132075471698
IMG_2022_07_05_12_11_20L,marescoe-david,0.9560171044593769,0.9216354344122658,0.10526315789473684,0.9655489205328434,0.9582267689684569,0.7
IMG_2022_07_05_12_20_01R,marescoe-david,0.9208168062288821,0.9127725856697819,0.36538461538461536,0.9900058788947678,0.9703588143525741,0.7166666666666667
